Date,Title,Kicker,Image,Link,Word_Count_Title,Word_Count_Kicker,Character_Count_Title,Character_Count_Kicker,Capital_Words_Kicker,Sentiment_Title,Sentiment_Kicker,Keyword_Frequency_Title,Keyword_Frequency_Kicker,Readability_Score_Title,Readability_Score_Kicker,Title_Complexity
2025-03-03,IN $1.7B CHICAGO CASINO PROJECT,"Bally’s Chicago $250 million IPO stalled at SEC, minority investor deposits refunded",https://imagenesyogonet.b-cdn.net/data/imagenes/2024/07/12/66065/1720794078-ballys-chicago-render-09.jpg,https://www.yogonet.com/international/news/2025/03/03/96961-ballys-chicago-250-million-ipo-stalled-at-sec-minority-investor-deposits-refunded,5,12,31,84,['Chicago'],0.0,-0.1,"{'to': 0, 'in': 1, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 0, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",49.48000000000002,0.0,5.4
2025-03-04,EYES EXPANSION IN THAILAND,Melco Resorts explores 'strategic options' for City of Dreams Manila,https://imagenesyogonet.b-cdn.net/data/imagenes/2018/05/03/18624/1625237161-city-of-dreams-manila-01.jpg,https://www.yogonet.com/international/news/2025/03/04/96960-melco-resorts-explores-39strategic-options-39-for-city-of-dreams-manila,4,10,26,68,"['Melco', 'Resorts', 'City', 'Dreams', 'Manila']",0.0,0.0,"{'to': 0, 'in': 1, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 0, 'for': 1, 'gambling': 0, 'the': 0, 'of': 1, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,0.0,5.75
2025-03-03,MONTHLY GGR REACHES $2.47 BILLION,"Macau casino revenue rebounds in February, but concerns over full recovery persist",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/03/03/73132/1741008089-macau-city-view-2025.jpg,https://www.yogonet.com/international/news/2025/03/03/96957-macau-casino-revenue-rebounds-in-february-but-concerns-over-full-recovery-persist,5,12,33,82,"['Macau', 'February,']",0.0,0.35,"{'to': 0, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 1, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",100.24000000000002,0.0,5.8
2025-02-28,$840 MILLION IN REVENUE,"Nevada casinos record second-best month ever in January, driven by Baccarat surge",https://imagenesyogonet.b-cdn.net/data/imagenes/2021/09/30/39546/1633372073-vista-las-vegas-18-strip-nevada.jpg,https://www.yogonet.com/international/news/2025/02/28/96669-nevada-casinos-record-secondbest-month-ever-in-january-driven-by-baccarat-surge,4,12,23,81,"['Nevada', 'January,', 'Baccarat']",0.0,0.0,"{'to': 0, 'in': 1, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 1, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 1, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,0.0,5.0
2025-03-05,TO TAKE PLACE FROM MARCH 31 - APRIL 6,Circa Resort named College Basketball Crown founding partner ahead of inaugural edition,https://imagenesyogonet.b-cdn.net/data/imagenes/2022/08/31/48626/1661973642-circa-resort-casino-las-vegas-04.jpg,https://www.yogonet.com/international/news/2025/03/05/96662-circa-resort-named-college-basketball-crown-founding-partner-ahead-of-inaugural-edition,9,12,37,87,"['Circa', 'Resort', 'College', 'Basketball', 'Crown']",0.0,0.0,"{'to': 1, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 1}","{'to': 0, 'in': 0, 'for': 0, 'gambling': 0, 'the': 0, 'of': 1, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,0.0,3.2222222222222223
2025-03-05,"ON MARCH 5, 10, AND 22",New York's Turning Stone casino to host multiple hiring events in March,https://imagenesyogonet.b-cdn.net/data/imagenes/2021/06/11/37021/1625373785-turning-stone-resort-casino-oneida-indian-nation-verona-nueva-york.jpg,https://www.yogonet.com/international/news/2025/03/05/96650-new-york-39s-turning-stone-casino-to-host-multiple-hiring-events-in-march,6,12,22,71,"['New', 'Turning', 'Stone', 'March']",0.0,0.06818181818181818,"{'to': 0, 'in': 0, 'of': 0, 'on': 1, 'for': 0, 'a': 0, 'and': 1, 'million': 0, 'gambling': 0, 'march': 1}","{'to': 1, 'in': 1, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 1}",0.0,0.0,2.8333333333333335
2025-03-03,RECOGNITION OF 2024 RESULTS,Hard Rock Hotel & Casino Atlantic City team members awarded $10 million in bonuses,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/28/73067/1740747381-mike-sampson-hard-rock-&-casino-atlantic-city-general-manager.jpg,https://www.yogonet.com/international/news/2025/03/03/96648-hard-rock-hotel-casino-atlantic-city-team-members-awarded-10-million-in-bonuses,4,14,27,82,"['Hard', 'Rock', 'Hotel', 'Casino', 'Atlantic', 'City']",0.0,-0.2916666666666667,"{'to': 0, 'in': 0, 'of': 1, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 1, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,0.0,6.0
2025-03-04,OVER $125 MILLION,Unused Tropicana demolition funds to support Bally’s resort plans,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/10/23/69285/1729709139-as-ballpark-ballys-resort-las-vegas-strip.jpg,https://www.yogonet.com/international/news/2025/03/04/96553-unused-tropicana-demolition-funds-to-support-ballys-resort-plans,3,9,17,65,"['Unused', 'Tropicana']",0.0,0.0,"{'to': 0, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 1, 'gambling': 0, 'march': 0}","{'to': 1, 'in': 0, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,0.0,5.0
2025-02-28,CHERRY REWARDS,Virgin Hotels Las Vegas to launch new rewards program in March,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/01/26/51829/1674745394-virgin-hotes-las-vegas-entrance.jpg,https://www.yogonet.com/international/news/2025/02/28/96547-virgin-hotels-las-vegas-to-launch-new-rewards-program-in-march,2,11,14,62,"['Virgin', 'Hotels', 'Las', 'Vegas', 'March']",0.0,0.13636363636363635,"{'to': 0, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 1, 'in': 1, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 1}",0.0,0.0,6.5
2025-02-28,"IN HOTEL OPERATIONS, F&B SECTORS",Mohegan Sun appoints company veterans Mary Wren and Chris Greaney to VP roles ,https://imagenesyogonet.b-cdn.net/data/imagenes/2022/09/12/48909/1663011094-mohegan-sun-connecticut-06.jpg,https://www.yogonet.com/international/news/2025/02/28/96444-mohegan-sun-appoints-company-veterans-mary-wren-and-chris-greaney-to-vp-roles,5,13,32,78,"['Mohegan', 'Sun', 'Mary', 'Wren', 'Chris', 'Greaney']",0.0,0.0,"{'to': 0, 'in': 1, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 1, 'in': 0, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 1, 'gaming': 0, 'new': 0}",0.0,0.0,5.6
